docid,best_match,score
1. SECU-P02 240.CHAL.005.035 Livret d’information sur les risques d’accidents majeurs du site de Veolia WTS France.pdf_1,Attachment3-County-Consultation.pdf_83,0.36328125
1. SECU-P02 240.CHAL.005.035 Livret d’information sur les risques d’accidents majeurs du site de Veolia WTS France.pdf_2,orano-malvesi-uk.pdf_1,0.384765625
1. SECU-P02 240.CHAL.005.035 Livret d’information sur les risques d’accidents majeurs du site de Veolia WTS France.pdf_4,factsheet-mox-en-v5.pdf_0,0.41015625
1. SECU-P02 240.CHAL.005.035 Livret d’information sur les risques d’accidents majeurs du site de Veolia WTS France.pdf_5,Total-Energies_Jacques-Vankeerberghen_Diesel-XTL-HVO_Inland-Navigation-Week.pdf_15,0.369140625
1. SECU-P02 240.CHAL.005.035 Livret d’information sur les risques d’accidents majeurs du site de Veolia WTS France.pdf_6,efs-d1-sanaa-zannane-david-ferguson.pdf_4,0.375
1. SECU-P02 240.CHAL.005.035 Livret d’information sur les risques d’accidents majeurs du site de Veolia WTS France.pdf_7,catalogue_solutions_laboretd_edf_en.pdf_125,0.35546875
1. SECU-P02 240.CHAL.005.035 Livret d’information sur les risques d’accidents majeurs du site de Veolia WTS France.pdf_8,Attachment3-County-Consultation.pdf_81,0.376953125
1. SECU-P02 240.CHAL.005.035 Livret d’information sur les risques d’accidents majeurs du site de Veolia WTS France.pdf_9,515.pdf_4,0.330078125
134000043.pdf_2,Energy pathways 2050_Key results.pdf_59,0.458984375
134000043.pdf_3,PPE-Executive summary.pdf_28,0.396484375
134000043.pdf_4,France NPF (EN).pdf_94,0.38671875
134000043.pdf_5,Energy pathways 2050_Key results.pdf_59,0.44140625
134000043.pdf_6,Energy pathways 2050_Key results.pdf_13,0.423828125
134000043.pdf_7,Energy pathways 2050_Key results.pdf_3,0.3828125
134000043.pdf_8,DP_Paris_deep_decarbonisation_EN.pdf_8,0.515625
134000043.pdf_9,Energy pathways 2050_Key results.pdf_59,0.5078125
134000043.pdf_10,Energy pathways 2050_Key results.pdf_59,0.42578125
134000043.pdf_11,Energy pathways 2050_Key results.pdf_59,0.5078125
134000043.pdf_12,Energy pathways 2050_Key results.pdf_3,0.359375
134000043.pdf_13,Energy pathways 2050_Key results.pdf_24,0.455078125
134000043.pdf_14,Energy pathways 2050_Key results.pdf_59,0.4140625
134000043.pdf_15,Energy pathways 2050_Key results.pdf_20,0.353515625
134000043.pdf_16,Energy pathways 2050_Key results.pdf_53,0.44921875
134000043.pdf_17,Energy pathways 2050_Key results.pdf_53,0.54296875
134000043.pdf_18,Energy pathways 2050_Key results.pdf_23,0.45703125
134000043.pdf_19,Energy pathways 2050_Key results.pdf_20,0.30078125
134000043.pdf_20,Wind-Observatory-2023.pdf_34,0.3203125
134000043.pdf_21,Energy pathways 2050_Key results.pdf_52,0.3828125
134000043.pdf_22,ANGLAIS-Livre-Blanc-Marémoteur-BD-VF.pdf_18,0.318359375
134000043.pdf_23,Energy pathways 2050_Key results.pdf_13,0.423828125
134000043.pdf_24,Energy pathways 2050_Key results.pdf_13,0.42578125
134000043.pdf_25,Energy pathways 2050_Key results.pdf_53,0.478515625
134000043.pdf_26,Energy pathways 2050_Key results.pdf_13,0.39453125
134000043.pdf_27,Energy pathways 2050_Key results.pdf_53,0.369140625
134000043.pdf_28,Energy pathways 2050_Key results.pdf_59,0.439453125
134000043.pdf_29,Energy pathways 2050_Key results.pdf_25,0.3125
134000043.pdf_30,enea-overview-of-the-biomethane-sector-in-france.pdf_50,0.353515625
134000043.pdf_31,CountryReport2021_France_final.pdf_10,0.41015625
134000043.pdf_32,PPE-Executive summary.pdf_10,0.40234375
134000043.pdf_33,Energy pathways 2050_Key results.pdf_25,0.4609375
134000043.pdf_34,Energy pathways 2050_Key results.pdf_9,0.49609375
134000043.pdf_35,Energy pathways 2050_Key results.pdf_29,0.3203125
134000043.pdf_36,Energy pathways 2050_Key results.pdf_25,0.46484375
134000043.pdf_37,Energy pathways 2050_Key results.pdf_25,0.55078125
134000043.pdf_38,France-brief-Phase-out-2020-monitoring-Europes-fossil-fuel-subsidies.pdf_8,0.361328125
134000043.pdf_39,France-brief-Phase-out-2020-monitoring-Europes-fossil-fuel-subsidies.pdf_6,0.42578125
134000043.pdf_40,cepInput_Energy_Taxation_in_France.pdf_7,0.412109375
134000043.pdf_41,cepInput_Energy_Taxation_in_France.pdf_6,0.515625
134000043.pdf_42,cepInput_Energy_Taxation_in_France.pdf_6,0.439453125
134000043.pdf_43,3d96e0d9-en.pdf_38,0.314453125
134000043.pdf_44,enea-overview-of-the-biomethane-sector-in-france.pdf_40,0.333984375
134000043.pdf_45,PPE-Executive summary.pdf_33,0.51953125
134000043.pdf_46,PPE-Executive summary.pdf_33,0.392578125
134000043.pdf_47,catalogue_solutions_laboretd_edf_en.pdf_87,0.32421875
134000043.pdf_48,Energy pathways 2050_Key results.pdf_59,0.322265625
134000043.pdf_49,Energy pathways 2050_Key results.pdf_59,0.37109375
134000043.pdf_50,PPE-Executive summary.pdf_28,0.39453125
134000043.pdf_51,PPE-Executive summary.pdf_28,0.3984375
134000043.pdf_52,utdlabosreseauxweb.pdf_0,0.412109375
134000043.pdf_53,Tidal_Energy_V4_WEB.pdf_32,0.349609375
134000043.pdf_54,DP_Paris_deep_decarbonisation_EN.pdf_8,0.30859375
134000043.pdf_55,ET27-Hydrogen-pipelines-vs.-HVDC-lines.pdf_22,0.419921875
134000043.pdf_56,DP_Paris_deep_decarbonisation_EN.pdf_8,0.427734375
134000043.pdf_57,DP_Paris_deep_decarbonisation_EN.pdf_8,0.375
134000043.pdf_58,Energy pathways 2050_Key results.pdf_59,0.435546875
134000043.pdf_59,enea-overview-of-the-biomethane-sector-in-france.pdf_18,0.431640625
134000043.pdf_60,enea-overview-of-the-biomethane-sector-in-france.pdf_32,0.353515625
134000043.pdf_61,Energy pathways 2050_Key results.pdf_3,0.345703125
134000043.pdf_62,Energy pathways 2050_Key results.pdf_53,0.33984375
134000043.pdf_63,Energy pathways 2050_Key results.pdf_59,0.5078125
134000043.pdf_64,Energy pathways 2050_Key results.pdf_59,0.375
134000043.pdf_65,Energy pathways 2050_Key results.pdf_25,0.490234375
134000043.pdf_66,Energy pathways 2050_Key results.pdf_3,0.31640625
134000043.pdf_67,Energy pathways 2050_Key results.pdf_59,0.353515625
134000043.pdf_68,ANGLAIS-Livre-Blanc-Marémoteur-BD-VF.pdf_18,0.3046875
134000043.pdf_69,enea-overview-of-the-biomethane-sector-in-france.pdf_48,0.36328125
134000043.pdf_70,enea-overview-of-the-biomethane-sector-in-france.pdf_6,0.345703125
134000043.pdf_71,Energy pathways 2050_Key results.pdf_13,0.43359375
134000043.pdf_72,Energy pathways 2050_Key results.pdf_59,0.3515625
134000043.pdf_74,ANGLAIS-Livre-Blanc-Marémoteur-BD-VF.pdf_18,0.349609375
